# gunzip -c exp/mono/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/mono/graph 
# Started at Sun Sep 11 01:06:39 PDT 2016
#
At utterance begin, sil accounts for 99.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.0,26) frames.
At utterance end, sil accounts for 98.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,19.7,61) frames.
At utterance end, nonsilence accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.8,30) frames.
At utterance end, n_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.5,21) frames.
Overall, nonsilence accounts for 92.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,17) frames.
Overall, sil accounts for 7.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,15.5,37) frames.
Overall, ax_I accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.1,7) frames.
Overall, n_E accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,13) frames.
Overall, r_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,13) frames.
Overall, z_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.2,18) frames.
Overall, iy_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,18) frames.
Overall, eh_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,13) frames.
Overall, ih_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.3,10) frames.
Overall, n_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,10) frames.
Overall, ae_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.9,17) frames.
Overall, td_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,12) frames.
Overall, s_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.9,16) frames.
Overall, s_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.0,20) frames.
Overall, l_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,16) frames.
Overall, er_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.9,17) frames.
Overall, iy_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.9,25) frames.
Overall, ah_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,13) frames.
Overall, p_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,15) frames.
Overall, ey_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,18) frames.
Overall, w_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.1,15) frames.
Overall, ih_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,12) frames.
Overall, dx_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.5,7) frames.
Overall, f_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.8,16) frames.
Overall, dh_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,10) frames.
Overall, ax_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,9) frames.
Overall, er_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,16) frames.
Overall, k_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.5,16) frames.
Overall, k_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.8,15) frames.
Overall, m_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,12) frames.
Overall, v_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,12) frames.
Overall, ao_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.1,20) frames.
