# gunzip -c exp/mono/decode/depth_stats_tmp.*.gz | steps/diagnostic/analyze_lattice_depth_stats.py exp/mono/graph 
# Started at Wed Oct 12 02:58:24 PDT 2016
#
The total amount of data analyzed assuming 100 frames per second is 0.0 hours
Overall, lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.8
Nonsilence phones as a group account for 78.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.7
Phone ʉ_E accounts for 24.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=2.4
Phone SIL accounts for 21.1% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=2.1
Phone o_B accounts for 7.5% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone d_I accounts for 4.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.9
Phone ʈʈ_I accounts for 4.3% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone n_I accounts for 4.0% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.4
Phone ʲeː_B accounts for 3.4% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.1
Phone ʌ_I accounts for 3.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone ɾ_I accounts for 3.0% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone aɪ_B accounts for 3.0% of frames, with lattice depth (10,50,90-percentile)=(1,1,11) and mean=3.7
Phone aː_I accounts for 2.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone ʲe_B accounts for 2.4% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.1
Phone b_I accounts for 2.3% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone aː_B accounts for 2.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.1
Phone ɡ_I accounts for 2.0% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone m_B accounts for 1.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone I_B accounts for 1.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone r_I accounts for 1.5% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone uː_I accounts for 1.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone ɖ_I accounts for 1.1% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone ɳ_I accounts for 0.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
# Accounting: time=0 threads=1
# Ended (code 0) at Wed Oct 12 02:58:24 PDT 2016, elapsed time 0 seconds
